qid;first_year;last_year;instance_of;image;country;city;latitude;longitude;architects
Q3237948;;;['Q29843656', 'Q1236923'];http://commons.wikimedia.org/wiki/Special:FilePath/Dom%20Siena%20Bibliothek.jpg;['Q38'];['Q2751'];43.3177;11.3288;[]
Q271928;1299;1299;['Q25550691', 'Q7328910', 'Q2651004', 'Q570116', 'Q207694', 'Q33506'];http://commons.wikimedia.org/wiki/Special:FilePath/Piazza%20della%20signoria%2C%20palazzo%20vecchio%2C%20veduta%2001.jpg;['Q38'];['Q2044'];43.769444444;11.256111111;['Q315249']
Q2957143;1505;1505;['Q124830213', 'Q92755865', 'Q108325'];http://commons.wikimedia.org/wiki/Special:FilePath/Perugia%2C%20cappella%20san%20severo%2001.jpg;['Q38'];['Q3437'];43.112835;12.392095;[]
Q869513;1099;1239;['Q120560', 'Q16970'];http://commons.wikimedia.org/wiki/Special:FilePath/Church%20St%20Maria%20del%20popolo%201.jpg;['Q38'];['Q220'];41.911358;12.476033;['Q576325']
Q2943;1473;1473;['Q2065736', 'Q1088552', 'Q570116', 'Q108325'];http://commons.wikimedia.org/wiki/Special:FilePath/Sistina-interno.jpg;['Q237'];['Q237'];41.902956;12.454433;['Q576325']
Q1424095;1401;1401;['Q317557', 'Q120560'];http://commons.wikimedia.org/wiki/Special:FilePath/Sant%27Agostino%2C%20Rome.jpg;['Q38'];['Q220'];41.900801904;12.47425985;[]
Q1514683;1401;1401;['Q1088552', 'Q16970'];http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Maria%20della%20Pace%20%28Rome%29%20-Interior.jpg;['Q38'];['Q220'];41.89986;12.47167;['Q7793']
Q249449;1508;1508;['Q19603939', 'Q16905550', 'Q83478'];http://commons.wikimedia.org/wiki/Special:FilePath/Raffael%20Stanza%20della%20Segnatura.jpg;['Q237'];['Q237'];41.903611;12.456389;[]
Q897603;1283;1283;['Q1140178', 'Q120560'];http://commons.wikimedia.org/wiki/Special:FilePath/SanDomenicoMaggioreNaples.jpg;['Q38'];['Q2634'];40.848731;14.254407;[]
Q2047517;;;['Q2651004'];http://commons.wikimedia.org/wiki/Special:FilePath/Speculum%20Romanae%20Magnificentiae-%20House%20of%20Raphael%20MET%20DP870359.jpg;['Q38'];['Q220'];41.902611;12.460611;['Q7793']
