xml_id,wikidata_url
HansVonAachen,http://www.wikidata.org/entity/Q152835
Aaron,https://www.wikidata.org/wiki/Q51676
NicoloDellAbbate,http://www.wikidata.org/entity/Q333563
Abel,https://www.wikidata.org/wiki/Q313421
AbgarV,https://www.wikidata.org/wiki/Q320168
Abiron,https://www.wikidata.org/wiki/Q114008399
Abraham,https://www.wikidata.org/wiki/Q9181
JudaAbravanel,https://www.wikidata.org/wiki/Q467062
PietroAccolti,https://www.wikidata.org/wiki/Q1337909
Achab,https://www.wikidata.org/wiki/Q235901
Achille,https://www.wikidata.org/wiki/Q41746
Achemenide,https://www.wikidata.org/wiki/Q930198
Adam,https://www.wikidata.org/wiki/Q70899
Adonis,https://www.wikidata.org/wiki/Q163920
Adramalech,https://www.wikidata.org/wiki/Q366515
AdrienVI,https://www.wikidata.org/wiki/Q57087
PierreAffre,http://www.wikidata.org/entity/Q3383648
Agamemnon,https://www.wikidata.org/wiki/Q128176
Agar,https://www.wikidata.org/wiki/Q214617
Aglaophon,https://www.wikidata.org/wiki/Q1454839
Agoracritos,https://www.wikidata.org/wiki/Q395404
LeonardoAgostini,https://www.wikidata.org/wiki/Q1054161
AgrippaIer,https://www.wikidata.org/wiki/Q298636
Agucchi,http://www.wikidata.org/entity/Q3766546
Agenor,https://www.wikidata.org/wiki/Q392631
Agesandros,https://www.wikidata.org/wiki/Q983432
AhmosisII,https://www.wikidata.org/wiki/Q312045
Aistolf,https://www.wikidata.org/wiki/Q312504
IbnAlHaytham,https://www.wikidata.org/wiki/Q11104
Alaric,https://www.wikidata.org/wiki/Q102371
Albane,http://www.wikidata.org/entity/Q358147
AlbertII,https://www.wikidata.org/wiki/Q157112
AlbertoAlberti,https://www.wikidata.org/wiki/Q323557
BenedettoAlberti,https://www.wikidata.org/wiki/Q62032375
BernardoAlberti,https://www.wikidata.org/wiki/Q55225022
CherubinoAlberti,http://www.wikidata.org/entity/Q2553402
CiprianoAlberti,https://www.wikidata.org/wiki/Q88174978
AlbertiDurante,http://www.wikidata.org/entity/Q1165466
Alberti,http://www.wikidata.org/entity/Q3064890
GiovanniAlberti,http://www.wikidata.org/entity/Q3106983
LeonBattistaAlberti,http://www.wikidata.org/entity/Q182046
RomanoAlberti,https://www.wikidata.org/wiki/Q3338349
MariottoAlbertinelli,http://www.wikidata.org/entity/Q436823
LaurentiusAlbertus,https://www.wikidata.org/wiki/Q1264440
Alcamene,https://www.wikidata.org/wiki/Q505640
AndreaAlciato,https://www.wikidata.org/wiki/Q464471
