xml:id,Titre de l'oeuvre,Wikidata,Artiste (xml:id),Auteur modèle,Type d'oeuvre,Ref bibliographie,Page bibliographie,Note,Niveau de certitude,Institution de conservation,Lieu de conservation d'après le texte,N° d'inventaire,Lien image,Technique,Datation,Datation début,Datation fin,Lien vers d'autres répertoires,Colonne 1,Colonne 2,Colonne 3,Colonne 4,Colonne 5,Colonne 6,Colonne 7,Colonne 8,Colonne 9,Colonne 10,Colonne 11
TitienBacchusAriane,Bacchus et Ariane,https://www.wikidata.org/wiki/Q1206860,Titien,,Peinture,,,,,National Gallery,,NG35,https://www.nationalgallery.org.uk/paintings/titian-bacchus-and-ariadne,,1520-1523,1520,1523,,,,,,,,,,,,
VeroneseCana,Noces de Cana,https://www.wikidata.org/wiki/Q185255,PaoloVeronese,,Peinture,,,,,Louvre,,INV 142 ; MR 384,https://collections.louvre.fr/ark:/53355/cl010064382,,,,,,,,,,,,,,,,
RaphaelPalaOddi,Retable Oddi,https://www.wikidata.org/wiki/Q2344357,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 8 A,,,,,,,,,,,,,,,,,,,,,,
RaphaelAnnonciationOddi,Annonciation (Prédelle de la Pala Oddi),https://www.wikidata.org/wiki/Q116286717,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 8 B,,,,,,,,,,,,,,,,,,,,,,
RaphaelAdorationMagesOddi,Adoration des Mages (Prédelle de la Pala Oddi),AUCUN,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 8 C,,,,,,,,,,,,,,,,,,,,,,
RaphaelPresentationTempleOddi,Presentation au temple (Prédelle de la Pala Oddi),AUCUN,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 8 D,,,,,,,,,,,,,,,,,,,,,,
RaphaelPalaSanNicola,Retable Baronci,https://www.wikidata.org/wiki/Q1778000,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 1,,,,,,,,,,,,,,,,,,,,,,
RaphaelPalaGavari,Crucifixion Mond,https://www.wikidata.org/wiki/Q598913,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 7 A,,,,,,,,,,,,,,,,,,,,,,
RaphaelSpozalio,Mariage de la Vierge,https://www.wikidata.org/wiki/Q2030685,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 9,,,,,,,,,,,,,,,,,,,,,,
LibreriaPiccolomini,Libreria Piccolomini,https://www.wikidata.org/wiki/Q3237948,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
MichelAngeCascina,Bataille de Cascina,https://www.wikidata.org/wiki/Q2236898,MichelAnge,,Peinture,,,,,,,,,,,,,,,,,,,,,,,,
LeonardAnghiari,Bataille d'Anghiari,https://www.wikidata.org/wiki/Q2045726,LeonardoDaVinci,,Peinture,,,,,,,,,,,,,,,,,,,,,,,,
PalazzoVecchio,Palazzo Vecchio,https://www.wikidata.org/wiki/Q271928,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
