xml_id,wikidata_qid
HansVonAachen,Q152835
Aaron,Q51676
NicoloDellAbbate,Q333563
Abel,Q313421
AbgarV,Q320168
Abiron,Q114008399
Abraham,Q9181
JudaAbravanel,Q467062
PietroAccolti,Q1337909
Achab,Q235901
Achille,Q41746
Achemenide,Q930198
Adam,Q70899
Adonis,Q163920
Adramalech,Q366515
AdrienVI,Q57087
PierreAffre,Q3383648
Agamemnon,Q128176
Agar,Q214617
Aglaophon,Q1454839
Agoracritos,Q395404
LeonardoAgostini,Q1054161
AgrippaIer,Q298636
Agucchi,Q3766546
Agenor,Q392631
Agesandros,Q983432
AhmosisII,Q312045
Aistolf,Q312504
IbnAlHaytham,Q11104
Alaric,Q102371
Albane,Q358147
AlbertII,Q157112
AlbertoAlberti,Q323557
BenedettoAlberti,Q62032375
BernardoAlberti,Q55225022
CherubinoAlberti,Q2553402
CiprianoAlberti,Q88174978
AlbertiDurante,Q1165466
Alberti,Q3064890
GiovanniAlberti,Q3106983
LeonBattistaAlberti,Q182046
RomanoAlberti,Q3338349
MariottoAlbertinelli,Q436823
LaurentiusAlbertus,Q1264440
Alcamene,Q505640
AndreaAlciato,Q464471
Alcibiade,Q187982
Alcinoos,Q936686
HeinrichAldegrever,Q62514
ClementVIII,Q170395
PietroAldobrandini,Q691894
AlexandreLeGrand,Q8409
HeronAlexandrie,Q161853
AlessandroAlgardi,Q336798
Dante,Q1067
Correge,Q8457
Ingegno,Q2846290
SaintJacquesMineur,Q16621985
Althee,Q440440
BindoAltoviti,Q22810427
FerdinandAlvareDeTolede,Q80847
Amalasonte,Q371670
Amalthee,Q107785
ChristophAmberger,Q653163
AngePolitien,Q250414
JostAmman,Q116240
BartolomeoAmmannati,Q312366
AmmienMarcellin,Q172198
ScipioneAmmirato,Q600041
Amphiaraos,Q330584
Amphion,Q242835
Amulius,Q1395422
Amycos,Q697942
Anacreon,Q213484
Anaxagore,Q83041
Anchise,Q211953
LippoAndrea,Q18627228
Androcydes,Q4759434
Andromede,Q161582
JacquesAndrouetDuCerceau,Q781934
SaintAndre,Q43399
FraAngelico,Q5664
MargueritedeNavarre,Q190058
JacquesAngouleme,Q19597256
EuropaAnguissola,Q1375207
LuciaAnguissola,Q465443
SofonisbaAnguissola,Q236038
CharlesIAnjou,Q203829
CharlesCalabre,Q201737
ReneAnjou,Q170353
SainteAnne,Q164294
MichelangeloAnselmi,Q577590
Antinous,Q171876
SainteMarguerite,Q297742
Antiochos,Q579596
Antiphile,Q581959
Anthistene,Q179149
Antisthene,Q179149
MarcAntoine,Q51673
Antee,Q272006
Apama,Q237626
Apelle,Q216822
PetrusApianus,Q58662
Apollodore,Q522080
Apollon,Q37340
Appien,Q190368
Aquilon,Q2859290
ThomasAquin,Q9438
Arachne,Q190082
AlphonseV,Q312304
Arcadius,Q159369
GiuseppeArchimboldo,Q7751
Archimede,Q8739
ArchelaosI,Q26846
GaleazzoArconati,Q47009360
ArdicesDeCorinthe,Q3622541
Arellius,Q4788796
MarchionneAretino,Q60841695
PietroAretino,Q296272
SpinelloAretino,Q287934
PellegrinoAretusi,Q2698667
MargaritoArezzo,Q2518566
Ariane,Q184874
JosephDArimathie,Q271474
LudovicoAriosto,Q48900
AeliusAristide,Q354431
Aristodeme,Q15816269
Aristophane,Q43353
Aristote,Q868
GeorgesDArmagnac,Q1772423
GiovanniBattistiArmenini,Q5563697
LouisDArpajon,Q1872093
Guariento,Q1391765
Arrien,Q31845
ArsinoeII,Q40234
Artaxerxes,Q189689
ArtaxiasI,Q319478
ArtemiseI,Q232128
Asclepios,Q83223
AsiaNymphe,Q605744
TizianoAspetti,Q323978
SaintFrancois,Q676555
Astaroth,Q830172
Astarte,Q130274
Atalante,Q190323
Atargatis,Q221735
Athenodore,Q182235
Damon,Q2346819
GlyconAthenes,Q707097
Metrodore,Q721095
Philon,Q240499
Philostrate,Q2274948
AttaleII,Q312431
IsottadegliAtti,Q1168634
TitusAtticus,Q311733
Attila,Q36724
Auguste,Q1405
AuluGelle,Q294800
Aurelien,Q46780
CharlesDAutriche,Q159817
IsabelleClaireEugenieDAutriche,Q158256
JacopoAvanzi,Q579717
Azarias,Q2025510
Baal,Q590467
Bacchus,Q645312
DominiqueBachelier,Q3034958
NicolasBachelier,Q713209
SistoBadalocchio,Q729057
AntonioBadile,Q941609
GiovanniBaglione,Q983332
BaccioBaldini,Q324091
BernardinoBaldini,Q28973029
AlessoBaldovinetti,Q472073
SaintBasile,Q1136050
BaccioBandinelli,Q358348
GiovanniBandini,Q3766522
SaintJeanBaptiste,Q40662
DanieleBarbaro,Q378870
HermolaoBarbaro,Q1236821
SainteBarbe,Q192816
AntonioBarberini,Q599744
FrancescoBarberini,Q534683
UrbainVIII,Q131579
LouisBarbierDeLaRiviere,Q3261176
DomenicoDelBarbiere,Q1411009
Guerchin,Q334262
PaulII,Q102605
JeanBarbé,Q112426675
HannibalBarca,Q36456
DirckBarendsz,Q2183916
GiovanniBarile,Q21899339
TommasoBarlacchi,Q21555335
CesareBaronio,Q317900
JacopoBarozziDaVignola,Q297565
CosimoBartoli,Q1136048
PietroBartoli,Q117038000
TaddeoDiBartolo,Q740231
FraBartolomeo,Q7780
DomenicoVeneziano,Q368546
MarcoBasaiti,Q918859
Basiliscus,Q193056
Bassano,Q20888877
FrancescoBassanoIlVecchio,Q3080906
FrancescoBassano,Q705079
GerolamoBassano,Q286685
GiovanniBattistaBassano,Q3107030
JacopoBassano,Q346502
LeandroBassano,Q1349666
MartinoBassi,Q3850232
JeanBaudouin,Q3170645
JeromeBaullery,Q3190805
JohannWilhelmBaur,Q324487
Sodoma,Q8506
CharlesBeaubrun,Q5075493
HenriBeaubrun,Q21452901
LouisBeaubrun,Q57243958
DomenicoBeccafumi,Q455712
LorenzoBeccafumi,Q21710984
JacquesBellange,Q874658
BartolomeoBellano,Q809488
JehanBellegambe,Q932136
SilvioBelli,Q18945788
GentileBellini,Q290407
GiovanniBellini,Q17169
JacopoBellini,Q313310
NicolosiaBellini,Q18507304
VittoreBelliniano,Q4015179
GiovanniPietroBellori,Q714400
Belus,Q617753
PietroBembo,Q334188
GinevraBenci,Q3494135
GiovanniBattistaBenedetti,Q451647
SainteCatherineDeSienne,Q229190
Bernin,Q160538
GiovanBattistaBertani,Q3766052
JacopoBertoia,Q1643157
LorenzoDiBicci,Q856749
Franciabigio,Q537712
FlavioBiondo,Q434834
MichelangeloBiondo,Q16657844
SainteBrigitteDeSuede,Q204996
JacquesBlanchard,Q385845
AbrahamBloemaert,Q329811
CornelisIIBloemaert,Q518767
LancelotBlondeel,Q2125116
FrancoisBlondel,Q600701
BoccaccioBoccaccino,Q721349
CamilloBoccaccino,Q1029340
BenoitXI,Q169301
AchilleBocchi,Q3604350
FrancescoBocchi,Q5479222
FerdinandBol,Q374039
HansBol,Q999233
NicolasBollery,Q3340069
VitaleDaBologna,Q2575398
Giambologna,Q220136
SchelteBolswert,Q2288622
GiovanniAntonioBoltraffio,Q442528
PierioValeriano,Q710070
GiulioBonasone,Q1527962
GregoireXIII,Q83029
GianpaoloBonconti,Q99887491
OnofrioBoni,Q28571871
FrancoisDeBonneDeCrequi,Q3086124
FrancescoBonsignori,Q2524101
AlessandroBonvicino,Q954504
AnselmusBoetiusDeBoodt,Q1818116
ParisBordone,Q366081
GiovanniAlfonsoBorelli,Q311814
PaulV,Q132711
AntigoneleBorgne,Q55038392
GherardoBorgogni,Q55875086
BorisI,Q311057
AlexandreVI,Q108316
CarloBorromeo,Q216946
FedericoBorromeo,Q469171
Boree,Q109220
HieronimusBosch,Q130531
FrancescoBoschi,Q3080919
AndreaBoscoli,Q1056313
AntonioBosio,Q600982
AbrahamBosse,Q326215
AntipaterDeBostra,Q2696411
AndriesBoth,Q510472
JanBoth,Q981631
MatteoBotti,Q24718757
SandroBotticelli,Q5669
LouisBoucherat,Q3261319
PierreBoucle,Q10349690
HennequinDeBruges,Q1370613
Valentin,Q1337275
Boupalos,Q852011
CharlesIIIBourbon,Q506466
FrancescoDelMonte,Q140106
ArmandDeBourbonConti,Q465844
SebastienBourdon,Q553795
LouisIIBourdonConde,Q310837
Boutades,Q1017839
ClaudeBoutet,Q2977077
ClaudineBouzonnetStella,Q5129302
JeanIDeBragance,Q2701474
FrancescoBrambillaIlGiovane,Q3749665
GiovanniBattistaBranconioDellAquila,Q3107048
IsabellaBrandt,Q2215964
JanBrandt,Q21543237
FriedrichIBrentel,Q5503769
PaulBril,Q540753
AgnoloBronzino,Q7803
SalomonDeBrosse,Q725816
JeanBaptisteDeBrouchoven,Q1985418
AdriaenBrouwer,Q364139
LiberalBruand,Q3090458
JanBrueghel,Q209050
PieterBrueghelDeOude,Q43270
Brunelleschi,Q174330
DomenicoBrusasorzi,Q2297219
Bryaxis,Q122196
Bucephale,Q201598
BuonamicoBuffalmacco,Q972487
GiulianoBugiardini,Q2578459
JeanBullant,Q967445
FrancoisBunel,Q5493203
JacobBunel,Q6118432
PietroBuonaccorsi,Q918778
LodovicoDiLeonardoBuonarrotiSimoni,Q21707110
MichelAnge,Q5592
GiovanniBuonconsiglio,Q5563793
Duccio,Q15792
CesarDeBus,Q1150806
GabrieleBusca,Q18945327
Buschetto,Q97516526
AgostinoBusti,Q395600
BernardinoButinone,Q2622155
NicolasBeatrizet,Q461143
Beseleel,Q853439
Cacus,Q754686
Cadmos,Q27613
Calamis,Q918382
JanStevenVanCalcar,Q1397369
Calchas,Q725527
BenedettoCaliari,Q2054338
CarloCaliari,Q2939168
GabrieleCaliari,Q5515997
Caligula,Q1409
CalixteI,Q122376
Callicles,Q553801
CalliclesPeintre,Q11916351
Callicratidas,Q465803
Callicrates,Q114112
Callimaque,Q553631
Calliope,Q103975
Callon,Q1722514
JacquesCallot,Q460124
DenysCalvaert,Q544264
LazzaroCalvi,Q3220074
Calypso,Q48961
AndreaCamassei,Q3615565
LucaCambiaso,Q712512
GiulioCamillo,Q331003
GirolamoCampagnola,Q27501610
GiulioCampagnola,Q1989594
Campaspe,Q432787
AntonioCampi,Q601175
BernardinoCampi,Q822891
GaleazzoCampi,Q707600
GiulioCampi,Q1528003
VincenzoCampi,Q921130
Candaule,Q434217
PeterCandid,Q315803
PietroMariaCanepario,Q21855521
DomenicoCanigiani,Q55226388
LorenzoCanozi,Q3836903
CaterinaCantoni,Q123753387
GirolamoCappello,Q5564757
JuliusCapitolinus,Q391514
FrancescoCapriani,Q748699
Caracalla,Q1446
CarloCarafa,Q1041979
PaulIV,Q101430
GiovanniJacopoCaraglio,Q705640
Caravage,Q42207
PolidoroDaCaravaggio,Q964822
GerolamoCardano,Q184530
GiovanFrancescoCaroto,Q966586
VittoreCarpaccio,Q5581
UgoDaCarpi,Q1967967
AgostinoCarracci,Q316269
AnnibaleCarracci,Q7824
AntonioCarracci,Q2624075
LodovicoCarracci,Q380553
JacopoDiCasentino,Q2723390
AlessandroCasolani,Q461700
