xml:id,Titre de l'oeuvre,Wikidata,Artiste (xml:id),Auteur modèle,Type d'oeuvre,Ref bibliographie,Page bibliographie,Note,Niveau de certitude,Institution de conservation,Lieu de conservation d'après le texte,n° d'inventaire,Lien image,Technique,Datation,Datation début,Datation fin,Lien vers d'autres répertoires
LibreriaPiccolomini,Libreria Piccolomini,https://www.wikidata.org/wiki/Q3237948,,,Architecture,,,,,,,,,,,,,
PalazzoVecchioFlorence,Palazzo Vecchio,https://www.wikidata.org/wiki/Q271928,,,Architecture,,,,,,,,,,,,,
PerugiaSanSevero,Chapelle Saint Severe,https://www.wikidata.org/wiki/Q2957143,,,Architecture,,,,,,,,,,,,,
BasiliqueSantaMariaDelPopolo,Basilique Santa Maria del Popolo,https://www.wikidata.org/wiki/Q869513,,,Architecture,,,,,,,,,,,,,
ChapelleSixtine,Chapelle Sixtine,https://www.wikidata.org/wiki/Q2943,,,Architecture,,,,,,,,,,,,,
BasiliqueSaintAugustinRome,Basilique Saint Augustin,https://www.wikidata.org/wiki/Q1424095,,,Architecture,,,,,,,,,,,,,
SainteMariePaixRome,Sainte Marie de la Paix,https://www.wikidata.org/wiki/Q1514683,,,Architecture,,,,,,,,,,,,,
StanzeVatican,Chambres de Raphaël au Vatican,https://www.wikidata.org/wiki/Q249449,,,Architecture,,,,,,,,,,,,,
SanDomenicoMaggioreNaples,Église San Domenico Maggiore,https://www.wikidata.org/wiki/Q897603,,,Architecture,,,,,,,,,,,,,
PalaisCapriniRome,Palais Caprini,https://www.wikidata.org/wiki/Q2047517,,,Architecture,,,,,,,,,,,,,
VillaMadamaRome,Villa Madame,https://www.wikidata.org/wiki/Q1267485 ,,,Architecture,,,,,,,,,,,,,
PalazzoBranconioAquilaRome,Palazzo Branconio dell'Aquila,https://www.wikidata.org/wiki/Q1267485 ,,,Architecture,,,,,,,,,,,,,
PalazzoPandolfiniFlorence,Palazzo Pandolfini,https://www.wikidata.org/wiki/Q1228234,,,Architecture,,,,,,,,,,,,,
VillaFarnesineRome,Villa Farnesine,https://www.wikidata.org/wiki/Q1126723,,,Architecture,,,,,,,,,,,,,
SanPietroMontorioRome,Eglise San Pietro in Montorio,https://www.wikidata.org/wiki/Q1258576,,,Architecture,,,,,,,,,,,,,
PantheonRome,Panthéon,https://www.wikidata.org/wiki/Q99309,,,Architecture,,,,,,,,,,,,,
SaintPierreRome,,https://www.wikidata.org/wiki/Q12512,,,Architecture,,,,,,,,,,,,,
TriniteMontsRome,,https://www.wikidata.org/wiki/Q1229008,,,Architecture,,,,,,,,,,,,,
PalaisFarneseRome,Palais Farnese,https://www.wikidata.org/wiki/Q848386,,,Architecture,,,,,,,,,,,,,
TuileriesParis,Palais des Tuileries,https://www.wikidata.org/wiki/Q234364,,,Architecture,,,,,,,,,,,,,
Salle500Florence,"Salle des Cinq-Cents, Palazzo Vecchio",https://www.wikidata.org/wiki/Q234364,,,Architecture,,,,,,,,,,,,,
SantaMariaGrazieMilan,Église Santa Maria delle Grazie (Milan),https://www.wikidata.org/wiki/Q1638622,,,Architecture,,,,,,,,,,,,,
SanFrancescoGrandeMilan,,https://www.wikidata.org/wiki/Q18223420,,,Architecture,,,,,,,,,,,,,
BibliothequeAmbrosienneMilan,Bibliothèque Ambrosienne,https://www.wikidata.org/wiki/Q815611,,,Architecture,,,,,,,,,,,,,
RaimondiLucrece,Lucrèce,,,,Estampe,straussIllustratedBartsch261978,n° 18 (19),,,,,,https://gallica.bnf.fr/ark:/12148/btv1b6953379k.item,,,,,
RaimondiMassacreInnocents,Massacre des Innocents,,,,Estampe,straussIllustratedBartsch261978,n° 18 (19),,,,,,https://gallica.bnf.fr/ark:/12148/btv1b69532033.item,,,,,
RaimondiCene,La Cène,,,,Estampe,straussIllustratedBartsch261978,n° 26 (33),,,,,,https://gallica.bnf.fr/ark:/12148/btv1b6953214w.item,,,,,
RaimondiNeptune,Neptune,,,,Estampe,straussIllustratedBartsch271978,n° 352 (264),,,,,,https://www.metmuseum.org/art/collection/search/342757,,,,,
MantegnaBacchanales,Bacchanales,https://www.wikidata.org/wiki/Q3632482,,,Estampe,lightbrownMantegnaCompleteCatalogue1986,n° 208-209,,,,,,,,,,,
MantegnaTriomphes,,,,,Estampe,,,PROBLEME,,,,,,,,,,
MantegnaCombatDieuxMarins,Combat des dieux marins,https://www.wikidata.org/wiki/Q4024963,,,Estampe,,,,,,,,,,,,,
MantegnaDapDescenteCroix,Descente de croix,,,,Estampe,lightbrownMantegnaCompleteCatalogue1986,n° 214,,,,,,,,,,,
MantegnaMiseAuTombeau,Laquelle ?,,,,Estampe,,,PROBLEME,,,,,,,,,,
