xml_id,wikidata_qid
Afrique,Q15
Amerique,Q828
Asie,Q48
Catalogne,Q113834065
Barbarie,Q501768
Europe,Q46
Ogygie,Q1232442
AixLaChapelle,Q1017
Augsbourg,Q2749
Cologne,Q365
Heidelberg,Q2966
Ingolstadt,Q3004
Kalkar,Q243554
Mainz,Q1720
Nuremberg,Q2090
Wurtzbourg,Q2999
Artaxata,Q706215
Xipete,Q13424319
Alost,Q13121
Anvers,Q12892
Oudenaarde,Q12992
Avennes,Q2660309
Barbencon,Q2257276
Bruges,Q12994
Courtrai,Q12995
Dinant,Q108247
Liege,Q3992
Louvain,Q118958
Malines,Q162022
Maaseik,Q110989
Meulebeke,Q822783
Mons,Q83407
Namur,Q134121
Rance,Q2094603
Martaban,Q1950091
Pegou,Q800122
Pula,Q4656
Copenhague,Q1748
Alsace,Q1142
Amiens,Q41604
Anet,Q529402
Angers,Q38380
test,Q134346
Arcueil,Q467132
Arles,Q48292
Arras,Q131329
Autun,Q190827
Auvergne,Q1152
Avignon,Q6397
Barbazan,Q632072
Belleville,Q815949
Belvedere,Q742848
BercheresLesPierres,Q1075225
Blois,Q160927
Bordeaux,Q1479
Bourgogne,Q1173
Beziers,Q174019
Caen,Q41185
Campan,Q835569
Chambray,Q1077048
Champagne,Q273827
CharentonLePont,Q212793
Chartres,Q130272
Chateaudun,Q181886
ConchesEnOuche,Q326369
Fayence,Q687823
Fontainebleau,Q182872
FrancheComte,Q16394
Gouvieux,Q752088
IvrySurSeine,Q193877
Lallaing,Q1099211
Languedoc,Q206221
LeMans,Q1476
Andelys,Q209770
Loches,Q213349
Lombez,Q253370
LyonsLaForet,Q115476
Marseille,Q23482
Maubeuge,Q138648
Melun,Q41139
Meudon,Q234735
Montesson,Q830293
MontmirailSarthe,Q840523
MontoireSurLeLoir,Q752979
Montpellier,Q6441
Moulins,Q184883
MezieresSurSeine,Q1464487
Narbonne,Q6555
Nevers,Q166997
Nivernais,Q1468519
Normandie,Q18677875
Nimes,Q42807
Orange,Q187796
Orleans,Q6548
Passy,Q1241308
Picardie,Q13950
Poitou,Q954076
Prasville,Q746057
Provence,Q101081
Roquebrun,Q269453
Rouen,Q30974
SaintBeat,Q671104
SaintCloud,Q189153
SaintDizier,Q208310
SaintGermainEnLaye,Q60847808
SaintLeuDEsserent,Q1332424
SaintMaurDesFosses,Q193313
SaintQuentinVille,Q182744
SaintRemyDeProvence,Q221507
SaintEtienneVille,Q42716
Sarrancolin,Q1599885
Savoie,Q14118
Sceaux,Q370498
Senlis,Q126668
Senonches,Q693987
Sens,Q212420
Sevran,Q387630
Strasbourg,Q6602
Sevres,Q206493
Tarbes,Q184023
